YEAR,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,RESPONSIBLE_GROUP,ACTIVITY_CLASS,TRUE_CAUSE,FIRE_START_DATE,FIRE_SPREAD_RATE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,DISTANCE_FROM_WATER_SOURCE
2006,0.01,A,53.491667,-116.6585,Lightning,,,,7/3/2006 19:33,0.0,Surface,Flat,Clear,25.0,42.0,NE,5.0,
2006,0.01,A,51.720417,-115.186967,Lightning,,,,7/2/2006 13:00,0.0,Ground,Flat,CB Wet,20.0,65.0,SW,5.0,
2006,0.01,A,54.314,-117.937367,Lightning,,,,7/3/2006 19:00,0.0,Surface,Lower 1/3,Clear,15.0,50.0,N,5.0,
2006,0.1,A,56.688433,-111.299533,Resident,Resident,Brush,Permit Related,7/3/2006 19:00,0.0,Surface,Flat,Clear,22.0,37.0,SE,5.0,
2006,0.01,A,55.524,-113.9905,Lightning,,,,7/3/2006 17:30,0.0,Ground,Flat,Clear,20.0,37.0,CLM,0.0,
2006,0.2,B,54.8765,-115.284167,Lightning,,,,7/3/2006 12:30,2.0,Surface,Middle 1/3,Cloudy,25.0,55.0,N,5.0,1.0
2006,0.01,A,55.2899,-111.367233,Oil & Gas Industry,Contractors or Agents,All Terrain Vehicles,Burning Substance,7/1/2006 13:00,0.0,Ground,Flat,Cloudy,21.0,35.0,NW,5.0,0.4
2006,0.5,B,56.762633,-118.481433,Restart,,,,7/2/2006 13:00,1.0,Surface,Flat,CB Dry,29.0,27.0,SW,2.0,0.1
2006,0.01,A,53.2646,-117.30195,Lightning,,,,7/4/2006 12:00,1.0,Surface,Flat,Clear,27.0,30.0,NE,5.0,
2006,0.2,B,59.5997,-110.1534,Lightning,,,,7/4/2006 12:29,0.0,Ground,Upper 1/3,Clear,27.0,23.0,NE,5.0,0.3
2006,0.1,A,58.70565,-118.69535,Resident,Resident,Children,Abandoned Fire,4/23/2006 17:30,0.1,Surface,Flat,Clear,19.0,32.0,SW,4.0,
2006,0.01,A,55.376517,-115.4383,Resident,Resident,Piles,Permit Related,7/2/2006 20:25,0.0,Ground,Flat,Cloudy,24.0,58.0,CLM,0.0,
2006,0.01,A,57.074,-113.791333,Lightning,,,,7/4/2006 16:29,0.5,Surface,Flat,Rainshowers,29.0,50.0,CLM,0.0,0.2
2006,0.3,B,53.404867,-115.8902,Lightning,,,,7/4/2006 18:00,1.0,Crown,Flat,Cloudy,27.0,30.0,W,1.0,0.3
2006,0.01,A,55.316733,-115.641317,Resident,Resident,Piles,Permit Related,7/2/2006 20:55,0.0,Surface,Flat,Cloudy,23.0,52.0,CLM,0.0,
2006,0.01,A,54.47255,-119.56155,Lightning,,,,7/4/2006 17:50,0.0,Surface,Upper 1/3,Cloudy,18.0,50.0,NE,15.0,5.0
