Date,Latitude,Longtitude,vNDVI,VARI,Area
1972-05-26,47.622,-73.20063,0.16035403,0.2663879,0.8
1972-05-26,47.6256,-73.16133,0.24571659,0.35542974,0.5
1972-05-26,47.63459,-73.15466,0.3068271,0.43557012,0.2
1972-05-26,47.6265,-72.97331,0.25965396,0.36947623,0.1
1972-05-26,47.6247,-72.97198,0.25331694,0.37920117,0.1
1972-05-27,46.10402,-73.69941,0.16953224,0.2368128,5.1
1972-05-28,47.54407,-72.63336,0.2479223,0.34676632,149.7
1972-05-28,47.86301,-74.15862,0.250819,0.38092005,0.3
1972-05-28,47.78148,-69.96788,0.20817755,0.28495428,4.7
1972-05-28,47.70084,-70.06863,0.14997315,0.22592075,0.1
1972-05-28,46.18735,-73.6186,0.25419053,0.3415962,0.2
1972-05-28,46.92926,-72.29778,0.07385766,0.11296321,0.6
1972-05-28,46.54047,-74.0598,0.31600192,0.43784225,0.3
1972-05-29,46.5054,-73.78368,0.23959818,0.4075615,194.6
1972-05-28,46.51709,-72.72386,0.1923455,0.34544557,46.5
1972-05-29,46.84502,-71.12985,0.2264226,0.36657006,1.2
1972-05-29,48.26888,-70.80901,0.33098742,0.47172153,1.2
1972-05-29,47.7563,-70.0325,0.19837357,0.2786414,3.2
1972-05-30,46.91846,-71.21182,0.19210912,0.27446547,0.2
1972-05-29,46.54227,-72.80195,0.20089808,0.29722878,0.8
1972-05-29,46.43645,-72.80071,0.11121792,0.18747395,2.1
1972-05-28,46.54227,-72.64967,0.07736115,0.107632905,1.0
1972-05-27,46.43915,-72.38926,0.1386469,0.19721295,1.9
1972-05-23,46.17116,-73.70195,0.23366271,0.32750437,0.1
1972-05-27,46.6283,-72.04012,0.2840677,0.45524624,0.5
1972-06-14,46.70354,-72.79661,0.17455608,0.24714324,0.8
1972-06-20,48.58513,-73.53303,0.26762658,0.3900622,64.7
1972-07-04,47.84772,-69.90595,0.15399663,0.21384557,2.8
1972-07-04,47.77968,-69.9719,0.1834121,0.25438142,4.0
1972-07-07,48.19814,-70.63159,0.375521,0.5390371,0.1
1972-07-07,49.0045,-75.0614,0.2731989,0.37432405,5.8
1972-07-07,49.20804,-74.53928,0.18945044,0.2863862,76.1
1972-07-21,47.52338,-70.39536,0.14593458,0.20471852,0.4
1972-07-19,47.77158,-69.97993,0.19360906,0.27239114,0.8
1972-07-25,47.7554,-70.0325,0.2039455,0.2869227,0.9
1972-08-05,47.58693,-70.30933,0.24765362,0.35216433,2.0
1972-08-05,47.69634,-73.29993,0.27322313,0.39990076,0.2
1972-05-29,46.10402,-73.49222,0.2914941,0.33942664,0.2
1972-08-21,46.68016,-72.63259,0.2517225,0.40981758,0.2
1972-09-13,47.45624,-70.49468,0.12989931,0.1938314,1.0
1972-09-15,47.93375,-69.88714,0.12785622,0.18519646,0.8
1972-09-22,48.00809,-69.82661,0.15556473,0.22844127,1.2
1972-09-22,47.03327,-70.91271,0.10886018,0.15804641,0.1
1972-05-13,48.44544,-69.30622,0.08225926,0.117563635,1.8
1972-05-23,48.94994,-68.95207,0.17554727,0.26094508,36.4
1972-05-20,48.53058,-69.30617,0.17345119,0.24612036,0.6
1972-05-23,49.29946,-68.31127,0.1314866,0.19692379,6.0
1972-05-23,49.03957,-68.57647,0.26827472,0.6016431,0.1
1972-05-23,49.08603,-68.47528,0.18450657,0.27646354,0.4
1972-05-23,49.08693,-68.39881,0.12953225,0.19334489,0.4
1972-05-23,49.10672,-68.39056,0.040192984,0.060692616,0.1
1972-05-23,48.52878,-69.30753,0.15548953,0.22120532,0.7
1972-05-22,48.43465,-69.39362,0.1062467,0.14954378,2.0
1972-05-23,49.1256,-68.40155,0.09381117,0.1397132,1.2
1972-05-23,48.21793,-69.82524,0.19301252,0.28658515,0.2
1972-05-23,48.45893,-69.30214,-0.15803389,-0.20830357,0.3
1972-05-23,49.3729,-68.221,0.18659507,0.2644863,4.8
